0, 0.000000, 0.000000, 0.058197
1, 0.036522, 0.036522, 0.058899
2, 0.072995, 0.072995, 0.059143
3, 0.109371, 0.109371, 0.059021
4, 0.145601, 0.145601, 0.058929
5, 0.181637, 0.181637, 0.059753
6, 0.217430, 0.217430, 0.058929
7, 0.252933, 0.252933, 0.060242
8, 0.288099, 0.288099, 0.058350
9, 0.322880, 0.322880, 0.059662
10, 0.357231, 0.357231, 0.059387
11, 0.391105, 0.391105, 0.062988
12, 0.424457, 0.424457, 0.060333
13, 0.457242, 0.457242, 0.064331
14, 0.489418, 0.489418, 0.060608
15, 0.520940, 0.520940, 0.063293
16, 0.551768, 0.551768, 0.062683
17, 0.581859, 0.581859, 0.063232
18, 0.611174, 0.611174, 0.064270
19, 0.639673, 0.639673, 0.064240
20, 0.667319, 0.667319, 0.061249
21, 0.694074, 0.694074, 0.064819
22, 0.719903, 0.719903, 0.062012
23, 0.744772, 0.744772, 0.063690
24, 0.768647, 0.768647, 0.062164
25, 0.791497, 0.791497, 0.064087
26, 0.813290, 0.813290, 0.063507
27, 0.833998, 0.833998, 0.063019
28, 0.853593, 0.853593, 0.062836
29, 0.872049, 0.872049, 0.063934
30, 0.889342, 0.889342, 0.062195
31, 0.905448, 0.905448, 0.064545
32, 0.920346, 0.920346, 0.060730
33, 0.934016, 0.934016, 0.065247
34, 0.946440, 0.946440, 0.061401
35, 0.957601, 0.957601, 0.063995
36, 0.967484, 0.967484, 0.062683
37, 0.976076, 0.976076, 0.065094
38, 0.983366, 0.983366, 0.061615
39, 0.989343, 0.989343, 0.065094
40, 0.994001, 0.994001, 0.062103
41, 0.997332, 0.997332, 0.064423
42, 0.999333, 0.999333, 0.062195
43, 1.000000, 1.000000, 0.066132
44, 0.999333, 0.999333, 0.064392
45, 0.997332, 0.997332, 0.066528
46, 0.994001, 0.994001, 0.065887
47, 0.989343, 0.989343, 0.065643
48, 0.983366, 0.983366, 0.063934
49, 0.976076, 0.976076, 0.066742
50, 0.967484, 0.967484, 0.065308
51, 0.957601, 0.957601, 0.068207
52, 0.946440, 0.946440, 0.065643
53, 0.934016, 0.934016, 0.069061
54, 0.920346, 0.920346, 0.065674
55, 0.905448, 0.905448, 0.068665
56, 0.889342, 0.889342, 0.066162
57, 0.872049, 0.872049, 0.068237
